country,country_code,region,city,id,osm_lat,osm_long,g_lat,g_long,distance
Argentina,AR,,La Rioja,87199,-29.6359232224535,-67.1844471559934,-29.4128001,-66.8559803,25.0352915873896
Argentina,AR,,Libertador General San Martín,87540,-23.8084811,-64.7862671,-23.81945,-64.790077,0.794667331005824
Argentina,AR,,Lincoln,87559,-34.8675352,-61.5288545,-34.8678589,-61.53442,0.316075836190271
Argentina,AR,,Luján,87833,-34.5668306,-59.109508,-34.565731,-59.1174316,0.456862351446227
Argentina,AR,,Luján,87835,-34.5668306,-59.109508,-34.565731,-59.1174316,0.456862351446227
Argentina,AR,,Mar del Plata,87974,-38.0072872,-57.5595802,-37.9798584,-57.5897942,2.50787701261511
Argentina,AR,,Mendoza,88108,-34.8700721,-68.5479966,-32.890183,-68.8440498,137.750972255543
Argentina,AR,,Mercedes,88111,-34.6497581,-59.4318425,-33.690102,-65.465477,350.93152831017
Argentina,AR,,Mercedes,88113,-34.6497581,-59.4318425,-33.690102,-65.465477,350.93152831017
Argentina,AR,,Mercedes,88115,-34.6497581,-59.4318425,-33.690102,-65.465477,350.93152831017
Argentina,AR,,Necochea,88395,-38.5666435,-58.7299373,-38.5544968,-58.7396088,0.987939557390777
Argentina,AR,,Neuquén,88406,-38.3533413,-69.8210841,-38.9492798,-68.0658112,103.201940266887
Argentina,AR,,Nueve de Julio,88472,-35.4468486,-60.8841028,-35.457642,-60.887272,0.766253609013645
Argentina,AR,,Oberá,88485,-27.4849705,-55.1201879,-27.4815311,-55.1234932,0.312064227626576
Argentina,AR,,Olavarría,88519,-36.8928868,-60.3200212,-36.8920898,-60.3149414,0.285852541712886
Argentina,AR,,Paraná,88720,-31.7432607,-60.5171971,-31.7413197,-60.5115471,0.357801196374154
Argentina,AR,,Pergamino,88860,-33.8963529,-60.5711143,-33.8881416,-60.5693359,0.576040389977271
Argentina,AR,,Posadas,89027,-27.3665072,-55.8941895,-27.3621374,-55.9008746,0.508988866370763
Argentina,AR,,Presidencia Roque Sáenz Peña,89111,-26.7941591239158,-60.4377032080927,-26.7906895,-60.4402504,0.286418544080024
Argentina,AR,,Puerto Madryn,89282,-42.7729674,-65.0366104,-42.7543983,-65.0493088,1.43461876373792
Argentina,AR,,Punta Alta,89379,-38.8804851,-62.0749748,-38.8760605,-62.0740891,0.309184623548817
Argentina,AR,,Rafaela,89461,-31.2514022080585,-61.4908113226448,-31.2525979,-61.4916422,0.0960255580163113
Argentina,AR,,Rawson,89523,-43.2999999,-65.1000001,-43.2998581,-65.0994873,0.0275651510887859
Argentina,AR,,Reconquista,89540,-29.1547277,-59.6540859,-29.1448193,-59.6435242,0.93468870173201
Argentina,AR,,Resistencia,89562,-27.4511223,-58.9865596,-27.451656,-58.986252,0.041389463396299
Argentina,AR,,Rivadavia,89655,-31.5279813,-68.5977418,-35.4889908,-62.973774,423.677532428281
