country,country_code,region,city,id,lat,long,lat,lng
Austria,AT,,Guntramsdorf,95232,48.04848,,48.04848,16.30659
Austria,AT,,Gänserndorf,94263,48.34067,,48.34067,16.71754
Austria,AT,,Götzis,94706,47.33469,,47.33469,9.64671
Austria,AT,,Haag,95287,48.1140858,,48.1140858,14.5673899
Austria,AT,,Hainburg,95404,48.1449979,,48.1449979,16.942022
Austria,AT,,Hallein,95435,47.68248,,47.68248,13.10037
Austria,AT,,Hall,95441,"",,"",""
Austria,AT,,Hard,95487,47.48492,,47.48492,9.69407
Austria,AT,,Heidenreichstein,95655,48.86571,,48.86571,15.12025
Austria,AT,,Hermagor,95737,46.62529,,46.62529,13.37277
Austria,AT,,Herzogenburg,95752,48.28693,,48.28693,15.69168
Austria,AT,,Himberg,95794,48.07329,,48.07329,16.43847
Austria,AT,,Hohenems,96088,47.36081,,47.36081,9.68671
Austria,AT,,Hollabrunn,96113,48.56911,,48.56911,16.07764
Austria,AT,,Hopfgarten,96181,47.43098,,47.43098,12.14989
Austria,AT,,Horn,96210,48.66607,,48.66607,15.65716
Austria,AT,,Höchst,95989,47.45928,,47.45928,9.6356
Austria,AT,,Hörbranz,96190,47.55568,,47.55568,9.75217
Austria,AT,,Hörsching,96214,48.22696,,48.22696,14.17586
Austria,AT,,Imst,96331,47.24013,,47.24013,10.73954
Austria,AT,,Innsbruck,96407,47.2692124,,47.2692124,11.4041024
Austria,AT,,Jenbach,96497,47.39187,,47.39187,11.77811
Austria,AT,,Jennersdorf,96499,46.93712,,46.93712,16.12961
Austria,AT,,Judenburg,96538,47.16826,,47.16826,14.65811
Austria,AT,,Kapfenberg,96683,47.44348,,47.44348,15.29015
Austria,AT,,Kindberg,96858,47.50545,,47.50545,15.44915
Austria,AT,,Kirchbichl,96891,47.51774,,47.51774,12.09625
Austria,AT,,Kitzbühel,96940,47.44499,,47.44499,12.39143
Austria,AT,,Klagenfurt,96951,46.62794,,46.62794,14.30899
Austria,AT,,Klosterneuburg,97195,48.30989,,48.30989,16.32465
Austria,AT,,Knittelfeld,97210,47.21595,,47.21595,14.82719
Austria,AT,,Korneuburg,97334,48.34472,,48.34472,16.33149
Austria,AT,,Kottingbrunn,97372,47.9517544,,47.9517544,16.229466
Austria,AT,,Kremsmünster,97459,48.0545,,48.0545,14.12665
Austria,AT,,Krems,97457,48.40999,,48.40999,15.60384
Austria,AT,,Krieglach,97494,47.50287,,47.50287,15.63949
Austria,AT,,Kuchl,97591,47.6257,,47.6257,13.14746
Austria,AT,,Kufstein,97596,47.58237,,47.58237,12.16275
Austria,AT,,Köflach,97238,47.06185,,47.06185,15.08268
Austria,AT,,Laakirchen,97649,47.97878,,47.97878,13.82048
Austria,AT,,Laa,97651,48.7196,,48.7196,16.38721
Austria,AT,,Landeck,97753,47.14057,,47.14057,10.56558
Austria,AT,,Langenlois,97797,48.47245,,48.47245,15.69121
Austria,AT,,Langenzersdorf,97806,48.3039772,,48.3039772,16.3602232
Austria,AT,,Lauterach,97900,47.47448,,47.47448,9.73073
Austria,AT,,Leibnitz,97944,46.79043,,46.79043,15.56207
Austria,AT,,Lenzing,98002,47.97485,,47.97485,13.60981
Austria,AT,,Leoben,98007,47.37639,,47.37639,15.09113
Austria,AT,,Leonding,98012,48.2793205,,48.2793205,14.2537942
